1689,484.5
1698,473.5
1707.5,459
1717.5,448
1727.5,435.5
1736.5,422.5
1745.5,408.5
1755,395.5
1765,381.5
1774.5,368
1783.5,359
1782,379
1775,391.5
1765.5,405.5
1756,418.5
1746.5,431
1737,442
1726,457
1717.5,470
1708,482
1698.5,494.5
1689.5,507.5
1680,520.5
1671,532.5
1661,543.5
1651.5,556.5
1641,568.5
1631.5,580.5
1623,593
1614,604
1606,614.5
1600.5,628.5
1588,639.5
1580,652
1570.5,662
1562.5,674.5
1553,685.5
1545.5,696.5
1536,707
1527.5,718
1521,731
1512,748.5
1503,757.5
1495,766
1486,774.5
1479,786
1468,795.5
1462.5,805
1454.5,815
1471,808
1480.5,799.5
1491.5,789.5
1499,780.5
1508,772
1520.5,760.5
1527.5,753.5
1534.5,737.5
1543,725.5
1550,714.5
1558.5,704
1566.5,692
1574.5,680.5
1585,668.5
1594,660
1602,645
1609.5,633.5
1619.5,622.5
1626,609.5
1636.5,597.5
1646,585.5
1655.5,574
1663.5,562.5
1674,549.5
1685,539
1694,526.5
1703.5,514
1713,502
1722.5,491.5
1734,479
1746.5,465.5
1748,451
1757.5,434.5
1766,425
1749.5,476
1740,484
1730.5,496
1723,509
1713.5,522.5
1703.5,533
1694,546.5
1684.5,560
1675,573
1665.5,582
1656.5,595
1646.5,608
1638.5,620.5
1629.5,632
1620,644.5
1610.5,656
1602.5,666.5
1593.5,678
1584.5,690.5
1575,700.5
1566.5,712
1559,723
1551,735.5
1539.5,748
1533,758.5
1525.5,769
1517.5,780
1512,788
1499.5,796
1519,790.5
1525,784
1533.5,774.5
1542,763.5
1567.5,728
1577,718
1585,707.5
1596.5,696
1604.5,685
1612.5,672.5
1622,660.5
1630.5,649.5
1639.5,639
1649,627.5
1657,614
1667,603
1675.5,585
1686.5,575.5
1696.5,566
1706.5,553.5
1715,540.5
1725.5,530
1734,517
1743,504
1751,491.5
1744.5,524
1735.5,536
1726,548
1717,560
1707.5,571
1697.5,585.5
1691,597.5
1680.5,612.5
1671,622.5
1661,634.5
1653,646.5
1643,658
1633,669.5
1624.5,680
1614.5,691
1605.5,704
1596.5,715.5
1588,727.5
1580,738.5
1571.5,750
1563,762
1551.5,772
1545,780.5
1581.5,750.5
1587.5,744
1597,734.5
1606.5,723
1615.5,710.5
1624.5,700
1633,688.5
1643.5,675.5
1652.5,664.5
1662,653.5
1672,641.5
1681.5,630.5
1690.5,618.5
1699.5,608.5
